번호,텍스트,음성,배경음,추가 배경음
1,티끌모아쇼핑,예솔,lovely cute,Errday
2,팡팡할인정보,지호,꿈속 여행,
3,핫템추천,민정,기분 좋은 살랑바람,
4,쇼핑딜러,경구,힐링이 필요할 때 듣는 노래,
5,깨알쇼핑정보,나윤,Drum Advertise,
6,오늘의핫템,준수,동행,
7,쇼핑정보,주은,마지막 왈츠,
8,미디어쇼핑,주환,소소한 희망,
9,미디어스쇼핑,우상,새벽햇살,산뜻하게 출발해볼까
10,쇼핑미디어스,정훈,Chill night,조금 빠른 거북이
